Running 10 trials.
Epoch 1 	 Loss: 0.057067 	Val Loss: 0.019148
Epoch 1 	 Train Loss: 2.404462 	 Train acc: 0.430724 	 Val Loss: 2.233146 	 Val acc 0.277104
Epoch 2 	 Train Loss: 0.730218 	 Train acc: 0.865918 	 Val Loss: 2.575409 	 Val acc 0.280670
Epoch 3 	 Train Loss: 0.343603 	 Train acc: 0.934697 	 Val Loss: 2.856540 	 Val acc 0.274251
Epoch 4 	 Train Loss: 0.246605 	 Train acc: 0.951849 	 Val Loss: 3.014234 	 Val acc 0.285307
Epoch 5 	 Train Loss: 0.211117 	 Train acc: 0.957814 	 Val Loss: 3.119815 	 Val acc 0.290300
Epoch 6 	 Train Loss: 0.193165 	 Train acc: 0.960152 	 Val Loss: 3.141759 	 Val acc 0.290656
Epoch 7 	 Train Loss: 0.183341 	 Train acc: 0.961574 	 Val Loss: 3.220829 	 Val acc 0.286020
Epoch 8 	 Train Loss: 0.176493 	 Train acc: 0.962720 	 Val Loss: 3.264495 	 Val acc 0.289230
Epoch 9 	 Train Loss: 0.170615 	 Train acc: 0.963130 	 Val Loss: 3.299088 	 Val acc 0.293153
Epoch 10 	 Train Loss: 0.167094 	 Train acc: 0.963451 	 Val Loss: 3.283839 	 Val acc 0.290300
Epoch 11 	 Train Loss: 0.163524 	 Train acc: 0.964093 	 Val Loss: 3.287522 	 Val acc 0.288160
Epoch 12 	 Train Loss: 0.159966 	 Train acc: 0.964460 	 Val Loss: 3.294122 	 Val acc 0.294223
Epoch 13 	 Train Loss: 0.158150 	 Train acc: 0.964921 	 Val Loss: 3.305514 	 Val acc 0.286020
Epoch 14 	 Train Loss: 0.155535 	 Train acc: 0.965331 	 Val Loss: 3.326720 	 Val acc 0.287090
Epoch 15 	 Train Loss: 0.153033 	 Train acc: 0.965517 	 Val Loss: 3.354513 	 Val acc 0.289943
Epoch 16 	 Train Loss: 0.151688 	 Train acc: 0.965150 	 Val Loss: 3.366399 	 Val acc 0.291013
Epoch 17 	 Train Loss: 0.149698 	 Train acc: 0.965881 	 Val Loss: 3.343847 	 Val acc 0.288873
Epoch 18 	 Train Loss: 0.147951 	 Train acc: 0.966709 	 Val Loss: 3.344007 	 Val acc 0.286020
Epoch 19 	 Train Loss: 0.146231 	 Train acc: 0.966657 	 Val Loss: 3.345248 	 Val acc 0.281384
Epoch 20 	 Train Loss: 0.144645 	 Train acc: 0.966477 	 Val Loss: 3.360900 	 Val acc 0.283880
Epoch 1 	 Loss: 0.060039 	Val Loss: 0.019910
Epoch 1 	 Train Loss: 2.370254 	 Train acc: 0.433983 	 Val Loss: 2.258493 	 Val acc 0.265692
Epoch 2 	 Train Loss: 0.708989 	 Train acc: 0.871601 	 Val Loss: 2.615491 	 Val acc 0.272111
Epoch 3 	 Train Loss: 0.339653 	 Train acc: 0.935614 	 Val Loss: 2.904974 	 Val acc 0.281740
Epoch 4 	 Train Loss: 0.247110 	 Train acc: 0.951073 	 Val Loss: 3.096706 	 Val acc 0.286733
Epoch 5 	 Train Loss: 0.212084 	 Train acc: 0.957260 	 Val Loss: 3.186550 	 Val acc 0.293153
