Running 10 trials.
Epoch 1 	 Loss: 0.102454 	Val Loss: 0.046059
Epoch 1 	 Train Loss: 2.165293 	 Train acc: 0.520770 	 Val Loss: 2.811034 	 Val acc 0.215311
Epoch 2 	 Train Loss: 0.575623 	 Train acc: 0.885193 	 Val Loss: 3.506457 	 Val acc 0.209330
Epoch 3 	 Train Loss: 0.339767 	 Train acc: 0.928850 	 Val Loss: 3.817581 	 Val acc 0.219298
Epoch 4 	 Train Loss: 0.276787 	 Train acc: 0.942373 	 Val Loss: 3.972191 	 Val acc 0.226874
Epoch 5 	 Train Loss: 0.249572 	 Train acc: 0.947044 	 Val Loss: 4.031081 	 Val acc 0.222887
Epoch 6 	 Train Loss: 0.235182 	 Train acc: 0.949507 	 Val Loss: 4.082961 	 Val acc 0.223285
Epoch 7 	 Train Loss: 0.223880 	 Train acc: 0.951876 	 Val Loss: 4.107393 	 Val acc 0.222488
Epoch 8 	 Train Loss: 0.216226 	 Train acc: 0.953257 	 Val Loss: 4.148424 	 Val acc 0.224482
Epoch 9 	 Train Loss: 0.209567 	 Train acc: 0.954800 	 Val Loss: 4.197206 	 Val acc 0.214912
Epoch 10 	 Train Loss: 0.204823 	 Train acc: 0.954516 	 Val Loss: 4.248103 	 Val acc 0.204944
Epoch 11 	 Train Loss: 0.200127 	 Train acc: 0.955734 	 Val Loss: 4.172067 	 Val acc 0.211722
Epoch 12 	 Train Loss: 0.196153 	 Train acc: 0.956059 	 Val Loss: 4.200845 	 Val acc 0.229665
Epoch 13 	 Train Loss: 0.191560 	 Train acc: 0.957887 	 Val Loss: 4.224603 	 Val acc 0.218501
Epoch 14 	 Train Loss: 0.188966 	 Train acc: 0.957156 	 Val Loss: 4.250808 	 Val acc 0.220096
Epoch 15 	 Train Loss: 0.185622 	 Train acc: 0.957237 	 Val Loss: 4.179708 	 Val acc 0.225678
Epoch 16 	 Train Loss: 0.184501 	 Train acc: 0.958726 	 Val Loss: 4.274944 	 Val acc 0.218102
Epoch 17 	 Train Loss: 0.180698 	 Train acc: 0.958076 	 Val Loss: 4.265493 	 Val acc 0.216507
Epoch 18 	 Train Loss: 0.177901 	 Train acc: 0.959064 	 Val Loss: 4.239520 	 Val acc 0.220096
Epoch 19 	 Train Loss: 0.175376 	 Train acc: 0.959308 	 Val Loss: 4.276753 	 Val acc 0.206938
Epoch 20 	 Train Loss: 0.173096 	 Train acc: 0.960567 	 Val Loss: 4.280227 	 Val acc 0.214115
Epoch 1 	 Loss: 0.098739 	Val Loss: 0.044992
Epoch 1 	 Train Loss: 2.159404 	 Train acc: 0.520253 	 Val Loss: 2.899206 	 Val acc 0.231260
Epoch 2 	 Train Loss: 0.574137 	 Train acc: 0.884165 	 Val Loss: 3.572798 	 Val acc 0.222089
Epoch 3 	 Train Loss: 0.343245 	 Train acc: 0.927591 	 Val Loss: 3.822948 	 Val acc 0.235247
Epoch 4 	 Train Loss: 0.281421 	 Train acc: 0.938800 	 Val Loss: 3.902929 	 Val acc 0.242424
Epoch 5 	 Train Loss: 0.254952 	 Train acc: 0.945135 	 Val Loss: 4.107233 	 Val acc 0.240829
Epoch 6 	 Train Loss: 0.237845 	 Train acc: 0.949318 	 Val Loss: 4.119331 	 Val acc 0.243222
Epoch 7 	 Train Loss: 0.227790 	 Train acc: 0.950942 	 Val Loss: 4.197825 	 Val acc 0.241228
Epoch 8 	 Train Loss: 0.219149 	 Train acc: 0.952309 	 Val Loss: 4.196594 	 Val acc 0.243222
Epoch 9 	 Train Loss: 0.212113 	 Train acc: 0.953826 	 Val Loss: 4.274764 	 Val acc 0.234848
Epoch 10 	 Train Loss: 0.207290 	 Train acc: 0.954868 	 Val Loss: 4.326905 	 Val acc 0.232855
