Running 10 trials.
Epoch 1 	 Loss: 1.576591 	Val Loss: 0.854747
Epoch 1 	 Train Loss: 3.544242 	 Train acc: 0.190625 	 Val Loss: 2.102163 	 Val acc 0.372500
Epoch 2 	 Train Loss: 2.815720 	 Train acc: 0.441875 	 Val Loss: 1.798481 	 Val acc 0.447500
Epoch 3 	 Train Loss: 1.996250 	 Train acc: 0.671250 	 Val Loss: 1.646356 	 Val acc 0.465000
Epoch 4 	 Train Loss: 1.445640 	 Train acc: 0.790625 	 Val Loss: 1.615195 	 Val acc 0.470000
Epoch 5 	 Train Loss: 1.093401 	 Train acc: 0.843750 	 Val Loss: 1.648447 	 Val acc 0.470000
Epoch 6 	 Train Loss: 0.859010 	 Train acc: 0.870000 	 Val Loss: 1.697850 	 Val acc 0.470000
Epoch 7 	 Train Loss: 0.698658 	 Train acc: 0.895000 	 Val Loss: 1.736366 	 Val acc 0.462500
Epoch 8 	 Train Loss: 0.587333 	 Train acc: 0.910625 	 Val Loss: 1.781363 	 Val acc 0.457500
Epoch 9 	 Train Loss: 0.503840 	 Train acc: 0.923125 	 Val Loss: 1.834864 	 Val acc 0.452500
Epoch 10 	 Train Loss: 0.440075 	 Train acc: 0.933750 	 Val Loss: 1.870389 	 Val acc 0.455000
Epoch 11 	 Train Loss: 0.390185 	 Train acc: 0.942500 	 Val Loss: 1.913674 	 Val acc 0.452500
Epoch 12 	 Train Loss: 0.351552 	 Train acc: 0.950625 	 Val Loss: 1.941272 	 Val acc 0.450000
Epoch 13 	 Train Loss: 0.318828 	 Train acc: 0.960000 	 Val Loss: 1.971520 	 Val acc 0.447500
Epoch 14 	 Train Loss: 0.293487 	 Train acc: 0.964375 	 Val Loss: 1.995329 	 Val acc 0.450000
Epoch 15 	 Train Loss: 0.270869 	 Train acc: 0.965000 	 Val Loss: 2.013854 	 Val acc 0.452500
Epoch 16 	 Train Loss: 0.252071 	 Train acc: 0.965625 	 Val Loss: 2.046883 	 Val acc 0.450000
Epoch 17 	 Train Loss: 0.234817 	 Train acc: 0.967500 	 Val Loss: 2.049919 	 Val acc 0.455000
Epoch 18 	 Train Loss: 0.221232 	 Train acc: 0.969375 	 Val Loss: 2.078746 	 Val acc 0.455000
Epoch 19 	 Train Loss: 0.207842 	 Train acc: 0.971875 	 Val Loss: 2.085774 	 Val acc 0.460000
Epoch 20 	 Train Loss: 0.195771 	 Train acc: 0.972500 	 Val Loss: 2.111513 	 Val acc 0.462500
Epoch 1 	 Loss: 1.587185 	Val Loss: 0.861531
Epoch 1 	 Train Loss: 3.542625 	 Train acc: 0.185000 	 Val Loss: 2.094773 	 Val acc 0.430000
Epoch 2 	 Train Loss: 2.815768 	 Train acc: 0.460625 	 Val Loss: 1.789579 	 Val acc 0.465000
Epoch 3 	 Train Loss: 1.990943 	 Train acc: 0.665625 	 Val Loss: 1.656408 	 Val acc 0.460000
Epoch 4 	 Train Loss: 1.448038 	 Train acc: 0.773125 	 Val Loss: 1.632614 	 Val acc 0.462500
Epoch 5 	 Train Loss: 1.098498 	 Train acc: 0.826875 	 Val Loss: 1.673338 	 Val acc 0.467500
Epoch 6 	 Train Loss: 0.871607 	 Train acc: 0.864375 	 Val Loss: 1.723129 	 Val acc 0.465000
Epoch 7 	 Train Loss: 0.712325 	 Train acc: 0.893125 	 Val Loss: 1.772560 	 Val acc 0.452500
Epoch 8 	 Train Loss: 0.602844 	 Train acc: 0.908750 	 Val Loss: 1.823901 	 Val acc 0.447500
Epoch 9 	 Train Loss: 0.520230 	 Train acc: 0.921875 	 Val Loss: 1.872490 	 Val acc 0.450000
Epoch 10 	 Train Loss: 0.455690 	 Train acc: 0.928750 	 Val Loss: 1.912128 	 Val acc 0.437500
Epoch 11 	 Train Loss: 0.406850 	 Train acc: 0.938125 	 Val Loss: 1.959016 	 Val acc 0.430000
Epoch 12 	 Train Loss: 0.365486 	 Train acc: 0.953125 	 Val Loss: 1.977387 	 Val acc 0.432500
Epoch 13 	 Train Loss: 0.331708 	 Train acc: 0.961250 	 Val Loss: 2.011751 	 Val acc 0.425000
Epoch 14 	 Train Loss: 0.303274 	 Train acc: 0.966250 	 Val Loss: 2.039742 	 Val acc 0.422500
Epoch 15 	 Train Loss: 0.281016 	 Train acc: 0.965625 	 Val Loss: 2.065456 	 Val acc 0.435000
Epoch 16 	 Train Loss: 0.260803 	 Train acc: 0.966875 	 Val Loss: 2.087143 	 Val acc 0.427500
Epoch 17 	 Train Loss: 0.243070 	 Train acc: 0.968750 	 Val Loss: 2.113175 	 Val acc 0.432500
Epoch 18 	 Train Loss: 0.227334 	 Train acc: 0.970000 	 Val Loss: 2.125112 	 Val acc 0.430000
Epoch 19 	 Train Loss: 0.214343 	 Train acc: 0.971875 	 Val Loss: 2.130313 	 Val acc 0.432500
Epoch 20 	 Train Loss: 0.201850 	 Train acc: 0.971875 	 Val Loss: 2.167793 	 Val acc 0.420000
Epoch 1 	 Loss: 1.586792 	Val Loss: 1.032026
Epoch 1 	 Train Loss: 3.557749 	 Train acc: 0.176250 	 Val Loss: 2.106555 	 Val acc 0.420000
Epoch 2 	 Train Loss: 2.828908 	 Train acc: 0.467500 	 Val Loss: 1.780083 	 Val acc 0.447500
Epoch 3 	 Train Loss: 1.987452 	 Train acc: 0.676250 	 Val Loss: 1.607270 	 Val acc 0.475000
Epoch 4 	 Train Loss: 1.438259 	 Train acc: 0.780000 	 Val Loss: 1.570499 	 Val acc 0.475000
Epoch 5 	 Train Loss: 1.091309 	 Train acc: 0.856875 	 Val Loss: 1.578837 	 Val acc 0.477500
Epoch 6 	 Train Loss: 0.856959 	 Train acc: 0.888125 	 Val Loss: 1.621649 	 Val acc 0.472500
Epoch 7 	 Train Loss: 0.696102 	 Train acc: 0.906250 	 Val Loss: 1.670300 	 Val acc 0.465000
Epoch 8 	 Train Loss: 0.581617 	 Train acc: 0.916875 	 Val Loss: 1.706429 	 Val acc 0.460000
Epoch 9 	 Train Loss: 0.498038 	 Train acc: 0.921250 	 Val Loss: 1.745668 	 Val acc 0.447500
Epoch 10 	 Train Loss: 0.434573 	 Train acc: 0.930625 	 Val Loss: 1.794308 	 Val acc 0.450000
Epoch 11 	 Train Loss: 0.385998 	 Train acc: 0.946250 	 Val Loss: 1.830070 	 Val acc 0.455000
Epoch 12 	 Train Loss: 0.346038 	 Train acc: 0.954375 	 Val Loss: 1.867776 	 Val acc 0.447500
Epoch 13 	 Train Loss: 0.314975 	 Train acc: 0.965000 	 Val Loss: 1.901778 	 Val acc 0.447500
Epoch 14 	 Train Loss: 0.288408 	 Train acc: 0.965625 	 Val Loss: 1.930226 	 Val acc 0.445000
Epoch 15 	 Train Loss: 0.266216 	 Train acc: 0.966875 	 Val Loss: 1.969938 	 Val acc 0.445000
Epoch 16 	 Train Loss: 0.247626 	 Train acc: 0.970625 	 Val Loss: 1.983986 	 Val acc 0.445000
Epoch 17 	 Train Loss: 0.230600 	 Train acc: 0.971875 	 Val Loss: 2.013869 	 Val acc 0.437500
Epoch 18 	 Train Loss: 0.216432 	 Train acc: 0.972500 	 Val Loss: 2.043717 	 Val acc 0.435000
Epoch 19 	 Train Loss: 0.203846 	 Train acc: 0.973125 	 Val Loss: 2.060825 	 Val acc 0.437500
Epoch 20 	 Train Loss: 0.192831 	 Train acc: 0.973750 	 Val Loss: 2.080491 	 Val acc 0.445000
Epoch 1 	 Loss: 1.604880 	Val Loss: 0.903705
Epoch 1 	 Train Loss: 3.557834 	 Train acc: 0.193125 	 Val Loss: 2.099753 	 Val acc 0.445000
Epoch 2 	 Train Loss: 2.844968 	 Train acc: 0.462500 	 Val Loss: 1.792986 	 Val acc 0.462500
Epoch 3 	 Train Loss: 2.002050 	 Train acc: 0.673125 	 Val Loss: 1.638922 	 Val acc 0.470000
Epoch 4 	 Train Loss: 1.444633 	 Train acc: 0.775000 	 Val Loss: 1.612463 	 Val acc 0.472500
Epoch 5 	 Train Loss: 1.095920 	 Train acc: 0.830000 	 Val Loss: 1.629410 	 Val acc 0.462500
Epoch 6 	 Train Loss: 0.863843 	 Train acc: 0.886250 	 Val Loss: 1.673034 	 Val acc 0.460000
Epoch 7 	 Train Loss: 0.704932 	 Train acc: 0.902500 	 Val Loss: 1.718166 	 Val acc 0.460000
Epoch 8 	 Train Loss: 0.589705 	 Train acc: 0.915000 	 Val Loss: 1.761923 	 Val acc 0.452500
Epoch 9 	 Train Loss: 0.506576 	 Train acc: 0.919375 	 Val Loss: 1.799518 	 Val acc 0.455000
Epoch 10 	 Train Loss: 0.445165 	 Train acc: 0.931250 	 Val Loss: 1.850641 	 Val acc 0.450000
Epoch 11 	 Train Loss: 0.394369 	 Train acc: 0.943750 	 Val Loss: 1.891056 	 Val acc 0.440000
Epoch 12 	 Train Loss: 0.354278 	 Train acc: 0.956250 	 Val Loss: 1.930716 	 Val acc 0.440000
Epoch 13 	 Train Loss: 0.322202 	 Train acc: 0.959375 	 Val Loss: 1.953122 	 Val acc 0.437500
Epoch 14 	 Train Loss: 0.295225 	 Train acc: 0.966875 	 Val Loss: 1.981093 	 Val acc 0.437500
Epoch 15 	 Train Loss: 0.272176 	 Train acc: 0.966875 	 Val Loss: 2.000731 	 Val acc 0.447500
