Running 10 trials.
Epoch 1 	 Loss: 1.623575 	Val Loss: 0.900449
Epoch 1 	 Train Loss: 3.655457 	 Train acc: 0.169500 	 Val Loss: 2.069677 	 Val acc 0.192500
Epoch 2 	 Train Loss: 2.701522 	 Train acc: 0.366500 	 Val Loss: 1.968106 	 Val acc 0.182500
Epoch 3 	 Train Loss: 1.928743 	 Train acc: 0.554000 	 Val Loss: 1.965294 	 Val acc 0.217500
Epoch 4 	 Train Loss: 1.438200 	 Train acc: 0.677500 	 Val Loss: 1.996727 	 Val acc 0.240000
Epoch 5 	 Train Loss: 1.126787 	 Train acc: 0.746500 	 Val Loss: 2.026479 	 Val acc 0.265000
Epoch 6 	 Train Loss: 0.926546 	 Train acc: 0.812000 	 Val Loss: 2.062585 	 Val acc 0.285000
Epoch 7 	 Train Loss: 0.785243 	 Train acc: 0.857000 	 Val Loss: 2.120456 	 Val acc 0.305000
Epoch 8 	 Train Loss: 0.678523 	 Train acc: 0.886500 	 Val Loss: 2.202660 	 Val acc 0.302500
Epoch 9 	 Train Loss: 0.597390 	 Train acc: 0.922000 	 Val Loss: 2.282087 	 Val acc 0.295000
Epoch 10 	 Train Loss: 0.530608 	 Train acc: 0.944000 	 Val Loss: 2.375191 	 Val acc 0.290000
Epoch 11 	 Train Loss: 0.475846 	 Train acc: 0.952500 	 Val Loss: 2.455642 	 Val acc 0.295000
Epoch 12 	 Train Loss: 0.432555 	 Train acc: 0.955500 	 Val Loss: 2.548723 	 Val acc 0.282500
Epoch 13 	 Train Loss: 0.392636 	 Train acc: 0.959500 	 Val Loss: 2.602968 	 Val acc 0.280000
Epoch 14 	 Train Loss: 0.361393 	 Train acc: 0.957000 	 Val Loss: 2.678390 	 Val acc 0.275000
Epoch 15 	 Train Loss: 0.335488 	 Train acc: 0.961000 	 Val Loss: 2.740004 	 Val acc 0.267500
Epoch 16 	 Train Loss: 0.312922 	 Train acc: 0.960000 	 Val Loss: 2.792380 	 Val acc 0.270000
Epoch 17 	 Train Loss: 0.291459 	 Train acc: 0.962000 	 Val Loss: 2.849368 	 Val acc 0.265000
Epoch 18 	 Train Loss: 0.274976 	 Train acc: 0.964000 	 Val Loss: 2.897172 	 Val acc 0.262500
Epoch 19 	 Train Loss: 0.259596 	 Train acc: 0.964000 	 Val Loss: 2.933619 	 Val acc 0.265000
Epoch 20 	 Train Loss: 0.246593 	 Train acc: 0.963000 	 Val Loss: 3.008574 	 Val acc 0.267500
Epoch 1 	 Loss: 1.627218 	Val Loss: 0.895728
Epoch 1 	 Train Loss: 3.700413 	 Train acc: 0.168500 	 Val Loss: 2.076950 	 Val acc 0.202500
Epoch 2 	 Train Loss: 2.763499 	 Train acc: 0.351500 	 Val Loss: 1.951170 	 Val acc 0.190000
Epoch 3 	 Train Loss: 1.960514 	 Train acc: 0.533000 	 Val Loss: 1.927249 	 Val acc 0.217500
Epoch 4 	 Train Loss: 1.453397 	 Train acc: 0.670500 	 Val Loss: 1.957431 	 Val acc 0.275000
Epoch 5 	 Train Loss: 1.134817 	 Train acc: 0.744500 	 Val Loss: 2.000612 	 Val acc 0.292500
Epoch 6 	 Train Loss: 0.930052 	 Train acc: 0.804000 	 Val Loss: 2.057586 	 Val acc 0.302500
Epoch 7 	 Train Loss: 0.789553 	 Train acc: 0.851500 	 Val Loss: 2.125985 	 Val acc 0.290000
Epoch 8 	 Train Loss: 0.684279 	 Train acc: 0.886500 	 Val Loss: 2.180101 	 Val acc 0.312500
Epoch 9 	 Train Loss: 0.601376 	 Train acc: 0.920500 	 Val Loss: 2.257727 	 Val acc 0.312500
Epoch 10 	 Train Loss: 0.534543 	 Train acc: 0.936000 	 Val Loss: 2.325853 	 Val acc 0.305000
Epoch 11 	 Train Loss: 0.478642 	 Train acc: 0.937500 	 Val Loss: 2.411438 	 Val acc 0.305000
Epoch 12 	 Train Loss: 0.433185 	 Train acc: 0.950500 	 Val Loss: 2.475554 	 Val acc 0.310000
Epoch 13 	 Train Loss: 0.395332 	 Train acc: 0.955500 	 Val Loss: 2.541228 	 Val acc 0.312500
Epoch 14 	 Train Loss: 0.363925 	 Train acc: 0.959000 	 Val Loss: 2.592332 	 Val acc 0.310000
Epoch 15 	 Train Loss: 0.336412 	 Train acc: 0.958500 	 Val Loss: 2.667930 	 Val acc 0.302500
Epoch 16 	 Train Loss: 0.314107 	 Train acc: 0.960000 	 Val Loss: 2.712297 	 Val acc 0.307500
Epoch 17 	 Train Loss: 0.293138 	 Train acc: 0.962500 	 Val Loss: 2.776384 	 Val acc 0.305000
Epoch 18 	 Train Loss: 0.276071 	 Train acc: 0.961500 	 Val Loss: 2.813018 	 Val acc 0.300000
