Running 10 trials.
Epoch 1 	 Loss: 1.098540 	Val Loss: 0.490163
Epoch 1 	 Train Loss: 3.083973 	 Train acc: 0.193204 	 Val Loss: 1.960922 	 Val acc 0.251429
Epoch 2 	 Train Loss: 2.328223 	 Train acc: 0.326179 	 Val Loss: 1.989860 	 Val acc 0.245714
Epoch 3 	 Train Loss: 1.885237 	 Train acc: 0.410067 	 Val Loss: 2.097653 	 Val acc 0.255238
Epoch 4 	 Train Loss: 1.678071 	 Train acc: 0.475633 	 Val Loss: 2.245267 	 Val acc 0.262857
Epoch 5 	 Train Loss: 1.545906 	 Train acc: 0.520695 	 Val Loss: 2.368100 	 Val acc 0.260952
Epoch 6 	 Train Loss: 1.451279 	 Train acc: 0.573415 	 Val Loss: 2.474894 	 Val acc 0.260952
Epoch 7 	 Train Loss: 1.376668 	 Train acc: 0.595826 	 Val Loss: 2.555069 	 Val acc 0.264762
Epoch 8 	 Train Loss: 1.317088 	 Train acc: 0.623662 	 Val Loss: 2.653783 	 Val acc 0.259048
Epoch 9 	 Train Loss: 1.268940 	 Train acc: 0.636836 	 Val Loss: 2.704190 	 Val acc 0.257143
Epoch 10 	 Train Loss: 1.236670 	 Train acc: 0.656534 	 Val Loss: 2.760044 	 Val acc 0.251429
Epoch 11 	 Train Loss: 1.200512 	 Train acc: 0.662704 	 Val Loss: 2.821248 	 Val acc 0.260952
Epoch 12 	 Train Loss: 1.174501 	 Train acc: 0.675613 	 Val Loss: 2.881624 	 Val acc 0.249524
Epoch 13 	 Train Loss: 1.145750 	 Train acc: 0.689569 	 Val Loss: 2.949514 	 Val acc 0.253333
Epoch 14 	 Train Loss: 1.122146 	 Train acc: 0.692358 	 Val Loss: 2.971330 	 Val acc 0.247619
Epoch 15 	 Train Loss: 1.103739 	 Train acc: 0.702478 	 Val Loss: 3.015380 	 Val acc 0.251429
Epoch 16 	 Train Loss: 1.087319 	 Train acc: 0.711210 	 Val Loss: 3.049445 	 Val acc 0.251429
Epoch 17 	 Train Loss: 1.067824 	 Train acc: 0.714983 	 Val Loss: 3.059352 	 Val acc 0.247619
Epoch 18 	 Train Loss: 1.053742 	 Train acc: 0.721886 	 Val Loss: 3.090679 	 Val acc 0.245714
Epoch 19 	 Train Loss: 1.038345 	 Train acc: 0.729040 	 Val Loss: 3.143237 	 Val acc 0.243810
Epoch 20 	 Train Loss: 1.021433 	 Train acc: 0.728271 	 Val Loss: 3.170341 	 Val acc 0.240000
Epoch 1 	 Loss: 1.102034 	Val Loss: 0.484461
Epoch 1 	 Train Loss: 3.098789 	 Train acc: 0.178667 	 Val Loss: 1.974401 	 Val acc 0.232381
Epoch 2 	 Train Loss: 2.356310 	 Train acc: 0.313055 	 Val Loss: 1.988438 	 Val acc 0.253333
Epoch 3 	 Train Loss: 1.899592 	 Train acc: 0.407480 	 Val Loss: 2.093570 	 Val acc 0.255238
Epoch 4 	 Train Loss: 1.687387 	 Train acc: 0.471419 	 Val Loss: 2.229077 	 Val acc 0.260952
Epoch 5 	 Train Loss: 1.544796 	 Train acc: 0.519874 	 Val Loss: 2.332060 	 Val acc 0.264762
Epoch 6 	 Train Loss: 1.458535 	 Train acc: 0.564279 	 Val Loss: 2.428708 	 Val acc 0.255238
Epoch 7 	 Train Loss: 1.379106 	 Train acc: 0.595674 	 Val Loss: 2.514620 	 Val acc 0.257143
Epoch 8 	 Train Loss: 1.320959 	 Train acc: 0.617984 	 Val Loss: 2.585620 	 Val acc 0.253333
Epoch 9 	 Train Loss: 1.274627 	 Train acc: 0.641934 	 Val Loss: 2.641267 	 Val acc 0.264762
Epoch 10 	 Train Loss: 1.242340 	 Train acc: 0.647562 	 Val Loss: 2.729043 	 Val acc 0.264762
Epoch 11 	 Train Loss: 1.211257 	 Train acc: 0.657455 	 Val Loss: 2.766686 	 Val acc 0.268571
Epoch 12 	 Train Loss: 1.181326 	 Train acc: 0.658944 	 Val Loss: 2.807607 	 Val acc 0.264762
Epoch 13 	 Train Loss: 1.157520 	 Train acc: 0.675954 	 Val Loss: 2.856019 	 Val acc 0.262857
