Running 10 trials.
Epoch 1 	 Loss: 1.324326 	Val Loss: 0.720966
Epoch 1 	 Train Loss: 2.871441 	 Train acc: 0.168770 	 Val Loss: 1.918380 	 Val acc 0.253333
Epoch 2 	 Train Loss: 2.229316 	 Train acc: 0.346072 	 Val Loss: 1.899630 	 Val acc 0.285714
Epoch 3 	 Train Loss: 1.798224 	 Train acc: 0.398933 	 Val Loss: 1.937222 	 Val acc 0.285714
Epoch 4 	 Train Loss: 1.579925 	 Train acc: 0.443191 	 Val Loss: 2.032839 	 Val acc 0.287619
Epoch 5 	 Train Loss: 1.444542 	 Train acc: 0.490463 	 Val Loss: 2.199217 	 Val acc 0.291429
Epoch 6 	 Train Loss: 1.349338 	 Train acc: 0.538417 	 Val Loss: 2.346455 	 Val acc 0.291429
Epoch 7 	 Train Loss: 1.268060 	 Train acc: 0.585338 	 Val Loss: 2.488858 	 Val acc 0.295238
Epoch 8 	 Train Loss: 1.207561 	 Train acc: 0.625852 	 Val Loss: 2.573879 	 Val acc 0.295238
Epoch 9 	 Train Loss: 1.151178 	 Train acc: 0.652779 	 Val Loss: 2.754707 	 Val acc 0.299048
Epoch 10 	 Train Loss: 1.110332 	 Train acc: 0.662531 	 Val Loss: 2.769261 	 Val acc 0.291429
Epoch 11 	 Train Loss: 1.077554 	 Train acc: 0.681236 	 Val Loss: 2.892679 	 Val acc 0.293333
Epoch 12 	 Train Loss: 1.041078 	 Train acc: 0.700914 	 Val Loss: 2.968612 	 Val acc 0.299048
Epoch 13 	 Train Loss: 1.019319 	 Train acc: 0.712640 	 Val Loss: 3.008824 	 Val acc 0.299048
Epoch 14 	 Train Loss: 0.998308 	 Train acc: 0.717229 	 Val Loss: 3.106431 	 Val acc 0.295238
Epoch 15 	 Train Loss: 0.973373 	 Train acc: 0.730483 	 Val Loss: 3.126860 	 Val acc 0.299048
Epoch 16 	 Train Loss: 0.956482 	 Train acc: 0.739587 	 Val Loss: 3.169870 	 Val acc 0.299048
Epoch 17 	 Train Loss: 0.940490 	 Train acc: 0.740296 	 Val Loss: 3.200876 	 Val acc 0.297143
Epoch 18 	 Train Loss: 0.922129 	 Train acc: 0.742246 	 Val Loss: 3.242721 	 Val acc 0.299048
Epoch 19 	 Train Loss: 0.909044 	 Train acc: 0.744752 	 Val Loss: 3.318962 	 Val acc 0.297143
Epoch 20 	 Train Loss: 0.895343 	 Train acc: 0.752162 	 Val Loss: 3.402326 	 Val acc 0.300952
Epoch 1 	 Loss: 1.329736 	Val Loss: 0.742072
Epoch 1 	 Train Loss: 2.908077 	 Train acc: 0.134551 	 Val Loss: 1.955389 	 Val acc 0.255238
Epoch 2 	 Train Loss: 2.300976 	 Train acc: 0.348861 	 Val Loss: 1.956796 	 Val acc 0.264762
Epoch 3 	 Train Loss: 1.833065 	 Train acc: 0.384216 	 Val Loss: 1.963368 	 Val acc 0.293333
Epoch 4 	 Train Loss: 1.601108 	 Train acc: 0.440047 	 Val Loss: 2.068570 	 Val acc 0.287619
Epoch 5 	 Train Loss: 1.454841 	 Train acc: 0.499707 	 Val Loss: 2.202283 	 Val acc 0.293333
Epoch 6 	 Train Loss: 1.358086 	 Train acc: 0.528202 	 Val Loss: 2.373507 	 Val acc 0.297143
Epoch 7 	 Train Loss: 1.267467 	 Train acc: 0.593712 	 Val Loss: 2.512178 	 Val acc 0.299048
Epoch 8 	 Train Loss: 1.209316 	 Train acc: 0.635226 	 Val Loss: 2.559110 	 Val acc 0.291429
Epoch 9 	 Train Loss: 1.148541 	 Train acc: 0.653157 	 Val Loss: 2.659744 	 Val acc 0.304762
Epoch 10 	 Train Loss: 1.109451 	 Train acc: 0.668603 	 Val Loss: 2.785113 	 Val acc 0.297143
Epoch 11 	 Train Loss: 1.069212 	 Train acc: 0.691165 	 Val Loss: 2.862231 	 Val acc 0.299048
Epoch 12 	 Train Loss: 1.034129 	 Train acc: 0.704214 	 Val Loss: 2.980721 	 Val acc 0.304762
Epoch 13 	 Train Loss: 1.010819 	 Train acc: 0.712019 	 Val Loss: 3.022908 	 Val acc 0.302857
Epoch 14 	 Train Loss: 0.986887 	 Train acc: 0.713393 	 Val Loss: 3.130637 	 Val acc 0.306667
Epoch 15 	 Train Loss: 0.967830 	 Train acc: 0.713107 	 Val Loss: 3.185855 	 Val acc 0.306667
Epoch 16 	 Train Loss: 0.944376 	 Train acc: 0.726296 	 Val Loss: 3.166677 	 Val acc 0.306667
Epoch 17 	 Train Loss: 0.932393 	 Train acc: 0.736620 	 Val Loss: 3.214838 	 Val acc 0.306667
Epoch 18 	 Train Loss: 0.913516 	 Train acc: 0.735604 	 Val Loss: 3.269461 	 Val acc 0.312381
Epoch 19 	 Train Loss: 0.901388 	 Train acc: 0.741384 	 Val Loss: 3.252808 	 Val acc 0.308571
Epoch 20 	 Train Loss: 0.887184 	 Train acc: 0.740163 	 Val Loss: 3.359504 	 Val acc 0.314286
Epoch 1 	 Loss: 1.362427 	Val Loss: 0.700760
Epoch 1 	 Train Loss: 2.906569 	 Train acc: 0.176347 	 Val Loss: 1.956297 	 Val acc 0.226667
Epoch 2 	 Train Loss: 2.308070 	 Train acc: 0.349001 	 Val Loss: 1.962588 	 Val acc 0.236190
Epoch 3 	 Train Loss: 1.850970 	 Train acc: 0.373135 	 Val Loss: 1.969251 	 Val acc 0.272381
Epoch 4 	 Train Loss: 1.617261 	 Train acc: 0.423974 	 Val Loss: 2.095102 	 Val acc 0.281905
