Running 10 trials.
Epoch 1 	 Loss: 0.888824 	Val Loss: 0.397993
Epoch 1 	 Train Loss: 2.123746 	 Train acc: 0.409061 	 Val Loss: 0.979477 	 Val acc 0.632107
Epoch 2 	 Train Loss: 1.290676 	 Train acc: 0.624339 	 Val Loss: 0.848903 	 Val acc 0.618729
Epoch 3 	 Train Loss: 0.830994 	 Train acc: 0.692791 	 Val Loss: 0.800951 	 Val acc 0.588629
Epoch 4 	 Train Loss: 0.683721 	 Train acc: 0.724206 	 Val Loss: 0.802439 	 Val acc 0.591973
Epoch 5 	 Train Loss: 0.611760 	 Train acc: 0.748347 	 Val Loss: 0.842249 	 Val acc 0.591973
Epoch 6 	 Train Loss: 0.562614 	 Train acc: 0.785053 	 Val Loss: 0.920742 	 Val acc 0.578595
Epoch 7 	 Train Loss: 0.532484 	 Train acc: 0.807540 	 Val Loss: 0.965975 	 Val acc 0.571906
Epoch 8 	 Train Loss: 0.492840 	 Train acc: 0.819775 	 Val Loss: 0.997430 	 Val acc 0.561873
Epoch 9 	 Train Loss: 0.474368 	 Train acc: 0.830357 	 Val Loss: 1.072912 	 Val acc 0.561873
Epoch 10 	 Train Loss: 0.440200 	 Train acc: 0.854167 	 Val Loss: 1.111565 	 Val acc 0.558528
Epoch 11 	 Train Loss: 0.422188 	 Train acc: 0.861442 	 Val Loss: 1.100554 	 Val acc 0.551839
Epoch 12 	 Train Loss: 0.407071 	 Train acc: 0.869378 	 Val Loss: 1.169112 	 Val acc 0.565217
Epoch 13 	 Train Loss: 0.387366 	 Train acc: 0.882606 	 Val Loss: 1.203305 	 Val acc 0.568562
Epoch 14 	 Train Loss: 0.373856 	 Train acc: 0.894511 	 Val Loss: 1.208983 	 Val acc 0.575251
Epoch 15 	 Train Loss: 0.365670 	 Train acc: 0.904101 	 Val Loss: 1.291237 	 Val acc 0.555184
Epoch 16 	 Train Loss: 0.353781 	 Train acc: 0.902447 	 Val Loss: 1.251067 	 Val acc 0.588629
Epoch 17 	 Train Loss: 0.347968 	 Train acc: 0.903108 	 Val Loss: 1.304661 	 Val acc 0.578595
Epoch 18 	 Train Loss: 0.337960 	 Train acc: 0.909392 	 Val Loss: 1.471909 	 Val acc 0.541806
Epoch 19 	 Train Loss: 0.332834 	 Train acc: 0.910714 	 Val Loss: 1.369849 	 Val acc 0.578595
Epoch 20 	 Train Loss: 0.323355 	 Train acc: 0.916336 	 Val Loss: 1.419906 	 Val acc 0.555184
Epoch 1 	 Loss: 0.907036 	Val Loss: 0.414305
Epoch 1 	 Train Loss: 2.142540 	 Train acc: 0.337302 	 Val Loss: 0.982396 	 Val acc 0.615385
Epoch 2 	 Train Loss: 1.286749 	 Train acc: 0.657738 	 Val Loss: 0.848911 	 Val acc 0.612040
