Running 10 trials.
Epoch 1 	 Loss: 0.319154 	Val Loss: 0.098858
Epoch 1 	 Train Loss: 0.774890 	 Train acc: 0.819861 	 Val Loss: 2.325552 	 Val acc 0.421759
Epoch 2 	 Train Loss: 0.260679 	 Train acc: 0.928542 	 Val Loss: 2.639242 	 Val acc 0.453472
Epoch 3 	 Train Loss: 0.182854 	 Train acc: 0.945278 	 Val Loss: 2.911494 	 Val acc 0.453472
Epoch 4 	 Train Loss: 0.148480 	 Train acc: 0.955903 	 Val Loss: 3.120787 	 Val acc 0.460880
Epoch 5 	 Train Loss: 0.130288 	 Train acc: 0.963542 	 Val Loss: 3.210568 	 Val acc 0.495139
Epoch 6 	 Train Loss: 0.123048 	 Train acc: 0.967153 	 Val Loss: 3.165739 	 Val acc 0.495833
Epoch 7 	 Train Loss: 0.118454 	 Train acc: 0.967083 	 Val Loss: 3.239000 	 Val acc 0.511111
Epoch 8 	 Train Loss: 0.113986 	 Train acc: 0.967708 	 Val Loss: 3.222181 	 Val acc 0.529167
Epoch 9 	 Train Loss: 0.110462 	 Train acc: 0.968611 	 Val Loss: 3.163893 	 Val acc 0.492130
Epoch 10 	 Train Loss: 0.106240 	 Train acc: 0.969514 	 Val Loss: 3.017229 	 Val acc 0.531019
Epoch 11 	 Train Loss: 0.104693 	 Train acc: 0.971528 	 Val Loss: 3.043291 	 Val acc 0.499074
Epoch 12 	 Train Loss: 0.101650 	 Train acc: 0.971597 	 Val Loss: 2.951783 	 Val acc 0.531944
Epoch 13 	 Train Loss: 0.099912 	 Train acc: 0.972014 	 Val Loss: 2.982383 	 Val acc 0.472917
Epoch 14 	 Train Loss: 0.098022 	 Train acc: 0.972569 	 Val Loss: 2.861568 	 Val acc 0.464815
Epoch 15 	 Train Loss: 0.096569 	 Train acc: 0.972708 	 Val Loss: 2.816797 	 Val acc 0.495370
Epoch 16 	 Train Loss: 0.095677 	 Train acc: 0.972083 	 Val Loss: 2.906605 	 Val acc 0.441435
Epoch 17 	 Train Loss: 0.093695 	 Train acc: 0.974583 	 Val Loss: 2.787265 	 Val acc 0.448148
Epoch 18 	 Train Loss: 0.091534 	 Train acc: 0.974306 	 Val Loss: 2.862902 	 Val acc 0.431713
Epoch 19 	 Train Loss: 0.090875 	 Train acc: 0.973472 	 Val Loss: 2.854251 	 Val acc 0.432407
Epoch 20 	 Train Loss: 0.089583 	 Train acc: 0.973333 	 Val Loss: 2.633236 	 Val acc 0.417130
Epoch 1 	 Loss: 0.305224 	Val Loss: 0.096364
Epoch 1 	 Train Loss: 0.748446 	 Train acc: 0.836111 	 Val Loss: 2.444261 	 Val acc 0.448148
Epoch 2 	 Train Loss: 0.250082 	 Train acc: 0.929931 	 Val Loss: 2.592183 	 Val acc 0.473843
Epoch 3 	 Train Loss: 0.178343 	 Train acc: 0.947153 	 Val Loss: 2.907206 	 Val acc 0.470370
Epoch 4 	 Train Loss: 0.145107 	 Train acc: 0.956667 	 Val Loss: 3.132428 	 Val acc 0.484028
Epoch 5 	 Train Loss: 0.131465 	 Train acc: 0.962222 	 Val Loss: 3.225444 	 Val acc 0.484491
Epoch 6 	 Train Loss: 0.121417 	 Train acc: 0.965486 	 Val Loss: 3.254656 	 Val acc 0.496991
Epoch 7 	 Train Loss: 0.116614 	 Train acc: 0.966667 	 Val Loss: 3.123273 	 Val acc 0.487037
Epoch 8 	 Train Loss: 0.112700 	 Train acc: 0.967986 	 Val Loss: 3.138986 	 Val acc 0.488657
Epoch 9 	 Train Loss: 0.108471 	 Train acc: 0.969583 	 Val Loss: 3.000428 	 Val acc 0.487500
Epoch 10 	 Train Loss: 0.105501 	 Train acc: 0.970486 	 Val Loss: 2.880772 	 Val acc 0.496991
Epoch 11 	 Train Loss: 0.102778 	 Train acc: 0.971250 	 Val Loss: 2.836425 	 Val acc 0.497454
Epoch 12 	 Train Loss: 0.099686 	 Train acc: 0.972153 	 Val Loss: 2.797337 	 Val acc 0.506019
Epoch 13 	 Train Loss: 0.098381 	 Train acc: 0.972014 	 Val Loss: 2.714481 	 Val acc 0.479167
