Running 10 trials.
Epoch 1 	 Loss: 0.612455 	Val Loss: 0.130238
Epoch 1 	 Train Loss: 0.984216 	 Train acc: 0.804048 	 Val Loss: 0.988104 	 Val acc 0.414069
Epoch 2 	 Train Loss: 0.327136 	 Train acc: 0.922264 	 Val Loss: 1.063459 	 Val acc 0.491154
Epoch 3 	 Train Loss: 0.199540 	 Train acc: 0.951068 	 Val Loss: 1.244702 	 Val acc 0.505897
Epoch 4 	 Train Loss: 0.149260 	 Train acc: 0.959408 	 Val Loss: 1.465005 	 Val acc 0.490312
Epoch 5 	 Train Loss: 0.116979 	 Train acc: 0.966081 	 Val Loss: 1.780470 	 Val acc 0.468829
Epoch 6 	 Train Loss: 0.098905 	 Train acc: 0.971197 	 Val Loss: 1.988931 	 Val acc 0.462511
Epoch 7 	 Train Loss: 0.087215 	 Train acc: 0.974755 	 Val Loss: 2.205180 	 Val acc 0.451559
Epoch 8 	 Train Loss: 0.078370 	 Train acc: 0.976646 	 Val Loss: 2.298925 	 Val acc 0.452822
Epoch 9 	 Train Loss: 0.071418 	 Train acc: 0.978536 	 Val Loss: 2.424419 	 Val acc 0.450716
Epoch 10 	 Train Loss: 0.068215 	 Train acc: 0.978981 	 Val Loss: 2.450779 	 Val acc 0.448610
Epoch 11 	 Train Loss: 0.062729 	 Train acc: 0.980093 	 Val Loss: 2.504976 	 Val acc 0.448610
Epoch 12 	 Train Loss: 0.057318 	 Train acc: 0.980983 	 Val Loss: 2.538172 	 Val acc 0.445240
Epoch 13 	 Train Loss: 0.055213 	 Train acc: 0.982874 	 Val Loss: 2.491060 	 Val acc 0.459983
Epoch 14 	 Train Loss: 0.051237 	 Train acc: 0.983652 	 Val Loss: 2.545877 	 Val acc 0.455771
Epoch 15 	 Train Loss: 0.049874 	 Train acc: 0.982429 	 Val Loss: 2.632575 	 Val acc 0.450295
Epoch 16 	 Train Loss: 0.048186 	 Train acc: 0.984764 	 Val Loss: 2.668434 	 Val acc 0.451980
Epoch 17 	 Train Loss: 0.045253 	 Train acc: 0.984987 	 Val Loss: 2.678696 	 Val acc 0.454086
Epoch 18 	 Train Loss: 0.044543 	 Train acc: 0.984764 	 Val Loss: 2.757873 	 Val acc 0.449874
Epoch 19 	 Train Loss: 0.043067 	 Train acc: 0.986321 	 Val Loss: 2.686800 	 Val acc 0.452401
Epoch 20 	 Train Loss: 0.041816 	 Train acc: 0.986766 	 Val Loss: 2.815031 	 Val acc 0.449452
Epoch 1 	 Loss: 0.593382 	Val Loss: 0.142536
Epoch 1 	 Train Loss: 0.966814 	 Train acc: 0.802714 	 Val Loss: 1.035966 	 Val acc 0.411963
Epoch 2 	 Train Loss: 0.325648 	 Train acc: 0.921708 	 Val Loss: 1.077247 	 Val acc 0.506740
Epoch 3 	 Train Loss: 0.209685 	 Train acc: 0.950512 	 Val Loss: 1.251241 	 Val acc 0.512216
Epoch 4 	 Train Loss: 0.155630 	 Train acc: 0.959075 	 Val Loss: 1.498495 	 Val acc 0.490733
Epoch 5 	 Train Loss: 0.126910 	 Train acc: 0.964672 	 Val Loss: 1.753565 	 Val acc 0.477254
Epoch 6 	 Train Loss: 0.105671 	 Train acc: 0.968083 	 Val Loss: 2.036831 	 Val acc 0.457456
Epoch 7 	 Train Loss: 0.092390 	 Train acc: 0.972309 	 Val Loss: 2.238579 	 Val acc 0.454086
Epoch 8 	 Train Loss: 0.084910 	 Train acc: 0.975423 	 Val Loss: 2.447569 	 Val acc 0.447767
Epoch 9 	 Train Loss: 0.076786 	 Train acc: 0.976868 	 Val Loss: 2.468387 	 Val acc 0.455771
Epoch 10 	 Train Loss: 0.070634 	 Train acc: 0.978425 	 Val Loss: 2.651773 	 Val acc 0.449452
Epoch 11 	 Train Loss: 0.064215 	 Train acc: 0.980761 	 Val Loss: 2.811377 	 Val acc 0.452401
Epoch 12 	 Train Loss: 0.062932 	 Train acc: 0.979315 	 Val Loss: 2.711409 	 Val acc 0.458719
Epoch 13 	 Train Loss: 0.058841 	 Train acc: 0.980205 	 Val Loss: 2.816528 	 Val acc 0.449874
Epoch 14 	 Train Loss: 0.056060 	 Train acc: 0.981873 	 Val Loss: 2.814793 	 Val acc 0.455350
Epoch 15 	 Train Loss: 0.050957 	 Train acc: 0.983207 	 Val Loss: 2.797034 	 Val acc 0.455350
Epoch 16 	 Train Loss: 0.048605 	 Train acc: 0.983652 	 Val Loss: 2.980993 	 Val acc 0.451559
Epoch 17 	 Train Loss: 0.047069 	 Train acc: 0.984208 	 Val Loss: 2.957134 	 Val acc 0.455771
Epoch 18 	 Train Loss: 0.045416 	 Train acc: 0.984764 	 Val Loss: 3.024341 	 Val acc 0.454086
Epoch 19 	 Train Loss: 0.044828 	 Train acc: 0.985765 	 Val Loss: 3.090682 	 Val acc 0.453665
Epoch 20 	 Train Loss: 0.041994 	 Train acc: 0.987322 	 Val Loss: 3.155118 	 Val acc 0.447767
Epoch 1 	 Loss: 0.568574 	Val Loss: 0.127060
Epoch 1 	 Train Loss: 0.980349 	 Train acc: 0.797598 	 Val Loss: 0.965367 	 Val acc 0.425864
Epoch 2 	 Train Loss: 0.327979 	 Train acc: 0.923599 	 Val Loss: 1.062937 	 Val acc 0.501264
Epoch 3 	 Train Loss: 0.209909 	 Train acc: 0.949177 	 Val Loss: 1.254604 	 Val acc 0.511373
Epoch 4 	 Train Loss: 0.155201 	 Train acc: 0.959742 	 Val Loss: 1.504289 	 Val acc 0.494524
