Running 10 trials.
Epoch 1 	 Loss: 1.917996 	Val Loss: 0.647310
Epoch 1 	 Train Loss: 3.452888 	 Train acc: 0.216250 	 Val Loss: 2.123681 	 Val acc 0.267500
Epoch 2 	 Train Loss: 2.509801 	 Train acc: 0.443750 	 Val Loss: 2.026709 	 Val acc 0.250000
Epoch 3 	 Train Loss: 1.687447 	 Train acc: 0.661250 	 Val Loss: 2.086403 	 Val acc 0.250000
Epoch 4 	 Train Loss: 1.168485 	 Train acc: 0.792500 	 Val Loss: 2.201346 	 Val acc 0.255000
Epoch 5 	 Train Loss: 0.847155 	 Train acc: 0.853125 	 Val Loss: 2.323630 	 Val acc 0.252500
Epoch 6 	 Train Loss: 0.646298 	 Train acc: 0.897500 	 Val Loss: 2.448197 	 Val acc 0.245000
Epoch 7 	 Train Loss: 0.516143 	 Train acc: 0.942500 	 Val Loss: 2.566083 	 Val acc 0.255000
Epoch 8 	 Train Loss: 0.426351 	 Train acc: 0.938750 	 Val Loss: 2.698435 	 Val acc 0.250000
Epoch 9 	 Train Loss: 0.364761 	 Train acc: 0.940000 	 Val Loss: 2.807897 	 Val acc 0.255000
Epoch 10 	 Train Loss: 0.317415 	 Train acc: 0.963125 	 Val Loss: 2.917116 	 Val acc 0.247500
Epoch 11 	 Train Loss: 0.280699 	 Train acc: 0.950625 	 Val Loss: 3.028750 	 Val acc 0.245000
Epoch 12 	 Train Loss: 0.251917 	 Train acc: 0.971250 	 Val Loss: 3.136095 	 Val acc 0.245000
Epoch 13 	 Train Loss: 0.227748 	 Train acc: 0.964375 	 Val Loss: 3.237208 	 Val acc 0.252500
Epoch 14 	 Train Loss: 0.208652 	 Train acc: 0.971875 	 Val Loss: 3.323929 	 Val acc 0.250000
Epoch 15 	 Train Loss: 0.191688 	 Train acc: 0.976250 	 Val Loss: 3.395383 	 Val acc 0.242500
Epoch 16 	 Train Loss: 0.176896 	 Train acc: 0.977500 	 Val Loss: 3.469448 	 Val acc 0.240000
Epoch 17 	 Train Loss: 0.163829 	 Train acc: 0.977500 	 Val Loss: 3.558619 	 Val acc 0.240000
Epoch 18 	 Train Loss: 0.153072 	 Train acc: 0.979375 	 Val Loss: 3.613641 	 Val acc 0.235000
Epoch 19 	 Train Loss: 0.143558 	 Train acc: 0.979375 	 Val Loss: 3.683177 	 Val acc 0.240000
Epoch 20 	 Train Loss: 0.134455 	 Train acc: 0.980625 	 Val Loss: 3.750719 	 Val acc 0.240000
Epoch 1 	 Loss: 1.962748 	Val Loss: 0.740840
Epoch 1 	 Train Loss: 3.474774 	 Train acc: 0.171250 	 Val Loss: 2.141352 	 Val acc 0.292500
Epoch 2 	 Train Loss: 2.582838 	 Train acc: 0.441250 	 Val Loss: 2.023847 	 Val acc 0.270000
Epoch 3 	 Train Loss: 1.736243 	 Train acc: 0.653125 	 Val Loss: 2.065753 	 Val acc 0.250000
Epoch 4 	 Train Loss: 1.194674 	 Train acc: 0.791250 	 Val Loss: 2.174373 	 Val acc 0.260000
Epoch 5 	 Train Loss: 0.869133 	 Train acc: 0.858750 	 Val Loss: 2.288105 	 Val acc 0.252500
Epoch 6 	 Train Loss: 0.662990 	 Train acc: 0.912500 	 Val Loss: 2.415377 	 Val acc 0.252500
Epoch 7 	 Train Loss: 0.531981 	 Train acc: 0.931875 	 Val Loss: 2.544770 	 Val acc 0.252500
Epoch 8 	 Train Loss: 0.441633 	 Train acc: 0.937500 	 Val Loss: 2.661666 	 Val acc 0.260000
Epoch 9 	 Train Loss: 0.377201 	 Train acc: 0.946875 	 Val Loss: 2.783639 	 Val acc 0.257500
Epoch 10 	 Train Loss: 0.328272 	 Train acc: 0.956875 	 Val Loss: 2.899898 	 Val acc 0.255000
Epoch 11 	 Train Loss: 0.289858 	 Train acc: 0.968750 	 Val Loss: 3.010354 	 Val acc 0.257500
Epoch 12 	 Train Loss: 0.259595 	 Train acc: 0.973750 	 Val Loss: 3.109246 	 Val acc 0.255000
Epoch 13 	 Train Loss: 0.234076 	 Train acc: 0.975625 	 Val Loss: 3.204439 	 Val acc 0.252500
Epoch 14 	 Train Loss: 0.213759 	 Train acc: 0.969375 	 Val Loss: 3.307576 	 Val acc 0.252500
Epoch 15 	 Train Loss: 0.195554 	 Train acc: 0.975625 	 Val Loss: 3.376039 	 Val acc 0.250000
Epoch 16 	 Train Loss: 0.180815 	 Train acc: 0.976875 	 Val Loss: 3.466780 	 Val acc 0.247500
Epoch 17 	 Train Loss: 0.167229 	 Train acc: 0.976875 	 Val Loss: 3.532870 	 Val acc 0.247500
Epoch 18 	 Train Loss: 0.155506 	 Train acc: 0.978750 	 Val Loss: 3.608190 	 Val acc 0.247500
Epoch 19 	 Train Loss: 0.144961 	 Train acc: 0.979375 	 Val Loss: 3.657224 	 Val acc 0.245000
Epoch 20 	 Train Loss: 0.135343 	 Train acc: 0.981250 	 Val Loss: 3.737003 	 Val acc 0.242500
Epoch 1 	 Loss: 1.959070 	Val Loss: 0.711709
Epoch 1 	 Train Loss: 3.453680 	 Train acc: 0.226250 	 Val Loss: 2.144036 	 Val acc 0.262500
Epoch 2 	 Train Loss: 2.518144 	 Train acc: 0.480000 	 Val Loss: 2.039986 	 Val acc 0.255000
Epoch 3 	 Train Loss: 1.688908 	 Train acc: 0.668750 	 Val Loss: 2.098608 	 Val acc 0.252500
