Running 10 trials.
Epoch 1 	 Loss: 1.590337 	Val Loss: 0.993563
Epoch 1 	 Train Loss: 3.650979 	 Train acc: 0.157000 	 Val Loss: 2.090080 	 Val acc 0.162500
Epoch 2 	 Train Loss: 2.707830 	 Train acc: 0.369000 	 Val Loss: 1.994621 	 Val acc 0.180000
Epoch 3 	 Train Loss: 1.923175 	 Train acc: 0.552000 	 Val Loss: 1.981614 	 Val acc 0.212500
Epoch 4 	 Train Loss: 1.417495 	 Train acc: 0.731500 	 Val Loss: 2.003239 	 Val acc 0.237500
Epoch 5 	 Train Loss: 1.085268 	 Train acc: 0.835500 	 Val Loss: 2.075445 	 Val acc 0.257500
Epoch 6 	 Train Loss: 0.866178 	 Train acc: 0.888500 	 Val Loss: 2.109761 	 Val acc 0.297500
Epoch 7 	 Train Loss: 0.713695 	 Train acc: 0.923000 	 Val Loss: 2.184598 	 Val acc 0.302500
Epoch 8 	 Train Loss: 0.595536 	 Train acc: 0.947500 	 Val Loss: 2.267195 	 Val acc 0.307500
Epoch 9 	 Train Loss: 0.505780 	 Train acc: 0.952500 	 Val Loss: 2.345851 	 Val acc 0.295000
Epoch 10 	 Train Loss: 0.436471 	 Train acc: 0.952000 	 Val Loss: 2.432970 	 Val acc 0.290000
Epoch 11 	 Train Loss: 0.383361 	 Train acc: 0.956500 	 Val Loss: 2.506100 	 Val acc 0.277500
Epoch 12 	 Train Loss: 0.341635 	 Train acc: 0.957500 	 Val Loss: 2.558932 	 Val acc 0.277500
Epoch 13 	 Train Loss: 0.309893 	 Train acc: 0.958000 	 Val Loss: 2.644536 	 Val acc 0.260000
Epoch 14 	 Train Loss: 0.282286 	 Train acc: 0.958000 	 Val Loss: 2.699227 	 Val acc 0.255000
Epoch 15 	 Train Loss: 0.260704 	 Train acc: 0.959500 	 Val Loss: 2.743109 	 Val acc 0.252500
Epoch 16 	 Train Loss: 0.242912 	 Train acc: 0.961000 	 Val Loss: 2.787972 	 Val acc 0.247500
Epoch 17 	 Train Loss: 0.226918 	 Train acc: 0.961500 	 Val Loss: 2.829014 	 Val acc 0.247500
Epoch 18 	 Train Loss: 0.214939 	 Train acc: 0.962000 	 Val Loss: 2.881150 	 Val acc 0.247500
Epoch 19 	 Train Loss: 0.202294 	 Train acc: 0.962500 	 Val Loss: 2.891716 	 Val acc 0.245000
Epoch 20 	 Train Loss: 0.192471 	 Train acc: 0.964500 	 Val Loss: 2.943968 	 Val acc 0.242500
Epoch 1 	 Loss: 1.653360 	Val Loss: 0.945549
Epoch 1 	 Train Loss: 3.658802 	 Train acc: 0.144500 	 Val Loss: 2.077459 	 Val acc 0.195000
Epoch 2 	 Train Loss: 2.693153 	 Train acc: 0.374000 	 Val Loss: 1.971267 	 Val acc 0.197500
Epoch 3 	 Train Loss: 1.907537 	 Train acc: 0.560000 	 Val Loss: 1.969688 	 Val acc 0.217500
Epoch 4 	 Train Loss: 1.401720 	 Train acc: 0.708500 	 Val Loss: 1.980405 	 Val acc 0.267500
Epoch 5 	 Train Loss: 1.078836 	 Train acc: 0.833500 	 Val Loss: 2.040866 	 Val acc 0.282500
Epoch 6 	 Train Loss: 0.867279 	 Train acc: 0.885000 	 Val Loss: 2.096328 	 Val acc 0.310000
Epoch 7 	 Train Loss: 0.718363 	 Train acc: 0.920000 	 Val Loss: 2.164074 	 Val acc 0.327500
Epoch 8 	 Train Loss: 0.604490 	 Train acc: 0.946500 	 Val Loss: 2.244877 	 Val acc 0.325000
Epoch 9 	 Train Loss: 0.518016 	 Train acc: 0.945500 	 Val Loss: 2.324972 	 Val acc 0.305000
Epoch 10 	 Train Loss: 0.449289 	 Train acc: 0.952000 	 Val Loss: 2.387092 	 Val acc 0.302500
Epoch 11 	 Train Loss: 0.396088 	 Train acc: 0.954000 	 Val Loss: 2.474738 	 Val acc 0.285000
Epoch 12 	 Train Loss: 0.355051 	 Train acc: 0.954500 	 Val Loss: 2.532205 	 Val acc 0.282500
Epoch 13 	 Train Loss: 0.321309 	 Train acc: 0.957000 	 Val Loss: 2.590145 	 Val acc 0.285000
Epoch 14 	 Train Loss: 0.294209 	 Train acc: 0.959500 	 Val Loss: 2.652637 	 Val acc 0.272500
Epoch 15 	 Train Loss: 0.272112 	 Train acc: 0.959000 	 Val Loss: 2.709901 	 Val acc 0.265000
Epoch 16 	 Train Loss: 0.253305 	 Train acc: 0.961500 	 Val Loss: 2.740624 	 Val acc 0.270000
Epoch 17 	 Train Loss: 0.237820 	 Train acc: 0.963500 	 Val Loss: 2.789554 	 Val acc 0.260000
Epoch 18 	 Train Loss: 0.223865 	 Train acc: 0.964500 	 Val Loss: 2.812604 	 Val acc 0.265000
Epoch 19 	 Train Loss: 0.211615 	 Train acc: 0.964500 	 Val Loss: 2.866721 	 Val acc 0.262500
Epoch 20 	 Train Loss: 0.201183 	 Train acc: 0.966000 	 Val Loss: 2.895083 	 Val acc 0.257500
Epoch 1 	 Loss: 1.619480 	Val Loss: 0.896781
Epoch 1 	 Train Loss: 3.660783 	 Train acc: 0.166000 	 Val Loss: 2.091741 	 Val acc 0.162500
Epoch 2 	 Train Loss: 2.702119 	 Train acc: 0.370000 	 Val Loss: 1.980714 	 Val acc 0.182500
Epoch 3 	 Train Loss: 1.917450 	 Train acc: 0.555500 	 Val Loss: 1.980089 	 Val acc 0.230000
Epoch 4 	 Train Loss: 1.410050 	 Train acc: 0.716000 	 Val Loss: 2.000306 	 Val acc 0.255000
Epoch 5 	 Train Loss: 1.089314 	 Train acc: 0.818500 	 Val Loss: 2.045542 	 Val acc 0.280000
Epoch 6 	 Train Loss: 0.873569 	 Train acc: 0.877000 	 Val Loss: 2.085679 	 Val acc 0.300000
Epoch 7 	 Train Loss: 0.720228 	 Train acc: 0.917000 	 Val Loss: 2.165860 	 Val acc 0.310000
Epoch 8 	 Train Loss: 0.606261 	 Train acc: 0.940500 	 Val Loss: 2.242334 	 Val acc 0.307500
Epoch 9 	 Train Loss: 0.516570 	 Train acc: 0.945000 	 Val Loss: 2.317785 	 Val acc 0.307500
Epoch 10 	 Train Loss: 0.447305 	 Train acc: 0.943500 	 Val Loss: 2.403135 	 Val acc 0.302500
