Running 10 trials.
Epoch 1 	 Loss: 1.341118 	Val Loss: 0.768566
Epoch 1 	 Train Loss: 2.872785 	 Train acc: 0.157846 	 Val Loss: 1.957106 	 Val acc 0.238095
Epoch 2 	 Train Loss: 2.243320 	 Train acc: 0.356335 	 Val Loss: 1.967220 	 Val acc 0.262857
Epoch 3 	 Train Loss: 1.779003 	 Train acc: 0.384394 	 Val Loss: 2.026359 	 Val acc 0.293333
Epoch 4 	 Train Loss: 1.537367 	 Train acc: 0.447245 	 Val Loss: 2.207142 	 Val acc 0.293333
Epoch 5 	 Train Loss: 1.383381 	 Train acc: 0.515859 	 Val Loss: 2.447212 	 Val acc 0.291429
Epoch 6 	 Train Loss: 1.266750 	 Train acc: 0.598725 	 Val Loss: 2.590991 	 Val acc 0.285714
Epoch 7 	 Train Loss: 1.176222 	 Train acc: 0.644974 	 Val Loss: 2.800713 	 Val acc 0.295238
Epoch 8 	 Train Loss: 1.108465 	 Train acc: 0.694732 	 Val Loss: 2.955964 	 Val acc 0.289524
Epoch 9 	 Train Loss: 1.051645 	 Train acc: 0.730797 	 Val Loss: 3.104361 	 Val acc 0.289524
Epoch 10 	 Train Loss: 1.001807 	 Train acc: 0.751248 	 Val Loss: 3.285512 	 Val acc 0.297143
Epoch 11 	 Train Loss: 0.961869 	 Train acc: 0.766445 	 Val Loss: 3.375138 	 Val acc 0.295238
Epoch 12 	 Train Loss: 0.929819 	 Train acc: 0.779392 	 Val Loss: 3.513316 	 Val acc 0.293333
Epoch 13 	 Train Loss: 0.902412 	 Train acc: 0.779255 	 Val Loss: 3.548951 	 Val acc 0.287619
Epoch 14 	 Train Loss: 0.876189 	 Train acc: 0.785932 	 Val Loss: 3.612294 	 Val acc 0.289524
Epoch 15 	 Train Loss: 0.855011 	 Train acc: 0.784844 	 Val Loss: 3.657786 	 Val acc 0.287619
Epoch 16 	 Train Loss: 0.832770 	 Train acc: 0.798980 	 Val Loss: 3.727353 	 Val acc 0.287619
Epoch 17 	 Train Loss: 0.814395 	 Train acc: 0.790119 	 Val Loss: 3.746731 	 Val acc 0.285714
Epoch 18 	 Train Loss: 0.800671 	 Train acc: 0.809752 	 Val Loss: 3.783428 	 Val acc 0.289524
Epoch 19 	 Train Loss: 0.784889 	 Train acc: 0.809643 	 Val Loss: 3.815354 	 Val acc 0.287619
Epoch 20 	 Train Loss: 0.771571 	 Train acc: 0.812967 	 Val Loss: 3.910608 	 Val acc 0.289524
Epoch 1 	 Loss: 1.337678 	Val Loss: 0.733196
Epoch 1 	 Train Loss: 2.875150 	 Train acc: 0.165224 	 Val Loss: 1.943173 	 Val acc 0.207619
Epoch 2 	 Train Loss: 2.229650 	 Train acc: 0.359128 	 Val Loss: 1.956328 	 Val acc 0.240000
