Running 10 trials.
Epoch 1 	 Loss: 0.902489 	Val Loss: 0.418523
Epoch 1 	 Train Loss: 2.129868 	 Train acc: 0.426587 	 Val Loss: 0.982654 	 Val acc 0.602007
Epoch 2 	 Train Loss: 1.278119 	 Train acc: 0.682209 	 Val Loss: 0.856170 	 Val acc 0.571906
Epoch 3 	 Train Loss: 0.783819 	 Train acc: 0.752315 	 Val Loss: 0.806240 	 Val acc 0.581940
Epoch 4 	 Train Loss: 0.615303 	 Train acc: 0.815146 	 Val Loss: 0.822775 	 Val acc 0.565217
Epoch 5 	 Train Loss: 0.525549 	 Train acc: 0.842593 	 Val Loss: 0.879739 	 Val acc 0.551839
Epoch 6 	 Train Loss: 0.465867 	 Train acc: 0.857804 	 Val Loss: 0.923398 	 Val acc 0.551839
Epoch 7 	 Train Loss: 0.418640 	 Train acc: 0.905754 	 Val Loss: 1.024618 	 Val acc 0.555184
Epoch 8 	 Train Loss: 0.381113 	 Train acc: 0.896825 	 Val Loss: 1.068663 	 Val acc 0.541806
Epoch 9 	 Train Loss: 0.355002 	 Train acc: 0.914352 	 Val Loss: 1.091896 	 Val acc 0.575251
Epoch 10 	 Train Loss: 0.336549 	 Train acc: 0.933862 	 Val Loss: 1.200877 	 Val acc 0.528428
Epoch 11 	 Train Loss: 0.322736 	 Train acc: 0.939153 	 Val Loss: 1.262550 	 Val acc 0.558528
Epoch 12 	 Train Loss: 0.302786 	 Train acc: 0.947421 	 Val Loss: 1.366215 	 Val acc 0.541806
Epoch 13 	 Train Loss: 0.295487 	 Train acc: 0.949074 	 Val Loss: 1.464889 	 Val acc 0.538462
Epoch 14 	 Train Loss: 0.278619 	 Train acc: 0.943783 	 Val Loss: 1.452057 	 Val acc 0.518395
Epoch 15 	 Train Loss: 0.277065 	 Train acc: 0.950728 	 Val Loss: 1.508621 	 Val acc 0.555184
Epoch 16 	 Train Loss: 0.261154 	 Train acc: 0.947421 	 Val Loss: 1.600607 	 Val acc 0.521739
Epoch 17 	 Train Loss: 0.255649 	 Train acc: 0.957672 	 Val Loss: 1.581559 	 Val acc 0.541806
Epoch 18 	 Train Loss: 0.250469 	 Train acc: 0.955026 	 Val Loss: 1.657318 	 Val acc 0.528428
Epoch 19 	 Train Loss: 0.243384 	 Train acc: 0.959325 	 Val Loss: 1.684635 	 Val acc 0.528428
Epoch 20 	 Train Loss: 0.236233 	 Train acc: 0.957341 	 Val Loss: 1.722677 	 Val acc 0.538462
Epoch 1 	 Loss: 0.883626 	Val Loss: 0.418690
Epoch 1 	 Train Loss: 2.089618 	 Train acc: 0.345569 	 Val Loss: 1.001973 	 Val acc 0.558528
Epoch 2 	 Train Loss: 1.235878 	 Train acc: 0.643849 	 Val Loss: 0.885810 	 Val acc 0.551839
Epoch 3 	 Train Loss: 0.765826 	 Train acc: 0.758267 	 Val Loss: 0.855813 	 Val acc 0.538462
Epoch 4 	 Train Loss: 0.608924 	 Train acc: 0.790675 	 Val Loss: 0.877823 	 Val acc 0.531773
Epoch 5 	 Train Loss: 0.520864 	 Train acc: 0.827381 	 Val Loss: 0.930241 	 Val acc 0.521739
