Running 10 trials.
Epoch 1 	 Loss: 0.620668 	Val Loss: 0.145882
Epoch 1 	 Train Loss: 0.939466 	 Train acc: 0.804827 	 Val Loss: 0.949799 	 Val acc 0.445240
Epoch 2 	 Train Loss: 0.306653 	 Train acc: 0.929493 	 Val Loss: 1.055823 	 Val acc 0.510952
Epoch 3 	 Train Loss: 0.183372 	 Train acc: 0.955145 	 Val Loss: 1.243846 	 Val acc 0.522746
Epoch 4 	 Train Loss: 0.127048 	 Train acc: 0.965191 	 Val Loss: 1.484253 	 Val acc 0.516007
Epoch 5 	 Train Loss: 0.096490 	 Train acc: 0.973124 	 Val Loss: 1.734114 	 Val acc 0.508003
Epoch 6 	 Train Loss: 0.078139 	 Train acc: 0.979537 	 Val Loss: 1.957001 	 Val acc 0.501264
Epoch 7 	 Train Loss: 0.068267 	 Train acc: 0.981094 	 Val Loss: 2.185025 	 Val acc 0.488627
Epoch 8 	 Train Loss: 0.061424 	 Train acc: 0.981539 	 Val Loss: 2.345524 	 Val acc 0.486099
Epoch 9 	 Train Loss: 0.056423 	 Train acc: 0.982762 	 Val Loss: 2.533021 	 Val acc 0.478517
Epoch 10 	 Train Loss: 0.053500 	 Train acc: 0.983652 	 Val Loss: 2.654155 	 Val acc 0.477254
Epoch 11 	 Train Loss: 0.049727 	 Train acc: 0.985209 	 Val Loss: 2.742319 	 Val acc 0.476411
Epoch 12 	 Train Loss: 0.049178 	 Train acc: 0.984801 	 Val Loss: 2.771388 	 Val acc 0.473884
Epoch 13 	 Train Loss: 0.045766 	 Train acc: 0.986432 	 Val Loss: 2.905592 	 Val acc 0.471778
Epoch 14 	 Train Loss: 0.043689 	 Train acc: 0.986210 	 Val Loss: 2.862678 	 Val acc 0.476832
Epoch 15 	 Train Loss: 0.043050 	 Train acc: 0.986321 	 Val Loss: 2.939358 	 Val acc 0.475147
Epoch 16 	 Train Loss: 0.042246 	 Train acc: 0.986877 	 Val Loss: 3.018887 	 Val acc 0.474305
Epoch 17 	 Train Loss: 0.040952 	 Train acc: 0.986877 	 Val Loss: 3.089817 	 Val acc 0.472199
Epoch 18 	 Train Loss: 0.039732 	 Train acc: 0.987322 	 Val Loss: 3.092722 	 Val acc 0.475147
Epoch 19 	 Train Loss: 0.038820 	 Train acc: 0.987100 	 Val Loss: 3.219349 	 Val acc 0.468829
Epoch 20 	 Train Loss: 0.037863 	 Train acc: 0.987544 	 Val Loss: 3.202322 	 Val acc 0.470935
Epoch 1 	 Loss: 0.604011 	Val Loss: 0.147384
Epoch 1 	 Train Loss: 0.930979 	 Train acc: 0.807384 	 Val Loss: 0.929869 	 Val acc 0.473884
Epoch 2 	 Train Loss: 0.301020 	 Train acc: 0.929493 	 Val Loss: 1.044295 	 Val acc 0.515586
